college,state,year,round,quota,category,gender,closing_rank
Melmaruvathur Adiparashakti Inst of Medical Sciences & Research,Tamil Nadu,2025,Round 2,State Quota,ST,All,545803
"Trichy SRM Medical College Hospital & Research Centre, Trichy (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,General,All,257703
"Trichy SRM Medical College Hospital & Research Centre, Trichy (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,436033
"Trichy SRM Medical College Hospital & Research Centre, Trichy (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,436042
"Trichy SRM Medical College Hospital & Research Centre, Trichy (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,436065
"Trichy SRM Medical College Hospital & Research Centre, Trichy (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,SC,All,691096
"Trichy SRM Medical College Hospital & Research Centre, Trichy (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,ST,All,576564
"Karpagam Faculty of Medical Sciences & Research, Coimbatore District. (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,General,All,386706
"Karpagam Faculty of Medical Sciences & Research, Coimbatore District. (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,512724
"Karpagam Faculty of Medical Sciences & Research, Coimbatore District. (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,512732
"Karpagam Faculty of Medical Sciences & Research, Coimbatore District. (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,512761
"Karpagam Faculty of Medical Sciences & Research, Coimbatore District. (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,SC,All,560744
"Karpagam Faculty of Medical Sciences & Research, Coimbatore District. (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,ST,All,737953
"Karpaga Vinayaga Institute of Medical Sciences, Madhuranthagam",Tamil Nadu,2025,Round 2,State Quota,General,All,315205
"Karpaga Vinayaga Institute of Medical Sciences, Madhuranthagam",Tamil Nadu,2025,Round 2,State Quota,OBC,All,441698
"Karpaga Vinayaga Institute of Medical Sciences, Madhuranthagam",Tamil Nadu,2025,Round 2,State Quota,OBC,All,441718
"Karpaga Vinayaga Institute of Medical Sciences, Madhuranthagam",Tamil Nadu,2025,Round 2,State Quota,OBC,All,441712
"Karpaga Vinayaga Institute of Medical Sciences, Madhuranthagam",Tamil Nadu,2025,Round 2,State Quota,SC,All,550362
"Karpaga Vinayaga Institute of Medical Sciences, Madhuranthagam",Tamil Nadu,2025,Round 2,State Quota,ST,All,602987
"Tagore Medical College & Hospital, Chennai",Tamil Nadu,2025,Round 2,State Quota,General,All,457840
"Tagore Medical College & Hospital, Chennai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,523823
"Tagore Medical College & Hospital, Chennai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,523845
"Tagore Medical College & Hospital, Chennai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,523794
"Tagore Medical College & Hospital, Chennai",Tamil Nadu,2025,Round 2,State Quota,SC,All,549867
"Tagore Medical College & Hospital, Chennai",Tamil Nadu,2025,Round 2,State Quota,ST,All,659621
"Arunai Medical College And Hospital, Mathur Tiruvannamalai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,401907
"Arunai Medical College And Hospital, Mathur Tiruvannamalai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,401924
"Arunai Medical College And Hospital, Mathur Tiruvannamalai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,401921
"Arunai Medical College And Hospital, Mathur Tiruvannamalai",Tamil Nadu,2025,Round 2,State Quota,SC,All,508393
"Arunai Medical College And Hospital, Mathur Tiruvannamalai",Tamil Nadu,2025,Round 2,State Quota,ST,All,628365
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,General,All,390594
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,495667
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,495707
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,495700
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,SC,All,617872
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur (Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,ST,All,576454
"Swamy Vivekananda Medical College Hospital and Research Institute,Tiruchengode, Namakkal",Tamil Nadu,2025,Round 2,State Quota,General,All,339838
"Swamy Vivekananda Medical College Hospital and Research Institute,Tiruchengode, Namakkal",Tamil Nadu,2025,Round 2,State Quota,OBC,All,369919
"Swamy Vivekananda Medical College Hospital and Research Institute,Tiruchengode, Namakkal",Tamil Nadu,2025,Round 2,State Quota,OBC,All,369944
"Swamy Vivekananda Medical College Hospital and Research Institute,Tiruchengode, Namakkal",Tamil Nadu,2025,Round 2,State Quota,OBC,All,369906
"Swamy Vivekananda Medical College Hospital and Research Institute,Tiruchengode, Namakkal",Tamil Nadu,2025,Round 2,State Quota,SC,All,590296
"Swamy Vivekananda Medical College Hospital and Research Institute,Tiruchengode, Namakkal",Tamil Nadu,2025,Round 2,State Quota,ST,All,529103
"PSP Medical College Hospital and Research Institute, T.Nagar, Chennai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,510077
"PSP Medical College Hospital and Research Institute, T.Nagar, Chennai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,510078
"PSP Medical College Hospital and Research Institute, T.Nagar, Chennai",Tamil Nadu,2025,Round 2,State Quota,OBC,All,510063
"PSP Medical College Hospital and Research Institute, T.Nagar, Chennai",Tamil Nadu,2025,Round 2,State Quota,SC,All,657479
"PSP Medical College Hospital and Research Institute, T.Nagar, Chennai",Tamil Nadu,2025,Round 2,State Quota,ST,All,687636
"St. Peters Medical College, Hospital and Research Institute, Hosur, Krishnagiri",Tamil Nadu,2025,Round 2,State Quota,General,All,434501
"St. Peters Medical College, Hospital and Research Institute, Hosur, Krishnagiri",Tamil Nadu,2025,Round 2,State Quota,OBC,All,520280
"St. Peters Medical College, Hospital and Research Institute, Hosur, Krishnagiri",Tamil Nadu,2025,Round 2,State Quota,OBC,All,520272
"St. Peters Medical College, Hospital and Research Institute, Hosur, Krishnagiri",Tamil Nadu,2025,Round 2,State Quota,OBC,All,520281
"St. Peters Medical College, Hospital and Research Institute, Hosur, Krishnagiri",Tamil Nadu,2025,Round 2,State Quota,SC,All,594362
"St. Peters Medical College, Hospital and Research Institute, Hosur, Krishnagiri",Tamil Nadu,2025,Round 2,State Quota,ST,All,640449
"Kanyakumari Medical Mission Research Centre, Kalkulam Taluk, Kanyakumari Distt.",Tamil Nadu,2025,Round 2,State Quota,General,All,381870
"Kanyakumari Medical Mission Research Centre, Kalkulam Taluk, Kanyakumari Distt.",Tamil Nadu,2025,Round 2,State Quota,OBC,All,524638
"Kanyakumari Medical Mission Research Centre, Kalkulam Taluk, Kanyakumari Distt.",Tamil Nadu,2025,Round 2,State Quota,OBC,All,524599
"Kanyakumari Medical Mission Research Centre, Kalkulam Taluk, Kanyakumari Distt.",Tamil Nadu,2025,Round 2,State Quota,SC,All,583210
"Kanyakumari Medical Mission Research Centre, Kalkulam Taluk, Kanyakumari Distt.",Tamil Nadu,2025,Round 2,State Quota,ST,All,716530
Nandha Medical College & Hospital Erode,Tamil Nadu,2025,Round 2,State Quota,OBC,All,454897
Nandha Medical College & Hospital Erode,Tamil Nadu,2025,Round 2,State Quota,OBC,All,454888
Nandha Medical College & Hospital Erode,Tamil Nadu,2025,Round 2,State Quota,OBC,All,454900
Nandha Medical College & Hospital Erode,Tamil Nadu,2025,Round 2,State Quota,SC,All,662147
Nandha Medical College & Hospital Erode,Tamil Nadu,2025,Round 2,State Quota,ST,All,545089
"Annapoorna Medical College and Hospital, Salem District. ( Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,426585
"Annapoorna Medical College and Hospital, Salem District. ( Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,426553
"Annapoorna Medical College and Hospital, Salem District. ( Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,426607
"Annapoorna Medical College and Hospital, Salem District. ( Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,SC,All,583595
"Annapoorna Medical College and Hospital, Salem District. ( Telugu Linguistic Minority)",Tamil Nadu,2025,Round 2,State Quota,ST,All,555964
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,2025,Round 2,State Quota,OBC,All,482303
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,2025,Round 2,State Quota,OBC,All,482328
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,2025,Round 2,State Quota,OBC,All,482322
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,2025,Round 2,State Quota,SC,All,551790
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,2025,Round 2,State Quota,ST,All,537727
"Srinivasan Medical College and Hospital, Samayapuram Tiruchirappalli (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,General,All,306300
"Srinivasan Medical College and Hospital, Samayapuram Tiruchirappalli (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,439511
"Srinivasan Medical College and Hospital, Samayapuram Tiruchirappalli (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,439505
"Srinivasan Medical College and Hospital, Samayapuram Tiruchirappalli (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,439496
"Srinivasan Medical College and Hospital, Samayapuram Tiruchirappalli (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,SC,All,469942
"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital, Perambalur (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,General,All,381014
"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital, Perambalur (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,476587
"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital, Perambalur (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,476631
"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital, Perambalur (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,476596
"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital, Perambalur (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,SC,All,539320
"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital, Perambalur (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,ST,All,565522
"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,General,All,399216
"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,492390
"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,492357
"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,492377
"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,SC,All,522731
"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai (Telugu Linguistic Minority- Private University)",Tamil Nadu,2025,Round 2,State Quota,ST,All,555415
"Madha Medical College and Hospital, Thandalam, Chennai (Christian Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,447766
"Madha Medical College and Hospital, Thandalam, Chennai (Christian Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,447815
"Madha Medical College and Hospital, Thandalam, Chennai (Christian Minority)",Tamil Nadu,2025,Round 2,State Quota,OBC,All,447770
"Madha Medical College and Hospital, Thandalam, Chennai (Christian Minority)",Tamil Nadu,2025,Round 2,State Quota,SC,All,582661
"PSG Institute of Medical Sciences, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,399629
"PSG Institute of Medical Sciences, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,512843
"KMCH Institute of Health sciences & Research, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,446541
"KMCH Institute of Health sciences & Research, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,554042
"Velammal Medical College Hospital & Research Institute, Madurai",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,454396
"Velammal Medical College Hospital & Research Institute, Madurai",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,671706
"Sree Mookambika Institute of Medical Sciences, Kanyakumari (Malayalam Minority)",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,483784
"Sree Mookambika Institute of Medical Sciences, Kanyakumari (Malayalam Minority)",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,666817
"Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research, Melmaruvathur",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,496419
"Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research, Melmaruvathur",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,534925
"PSG Institute of Medical Sciences, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,399656
"PSG Institute of Medical Sciences, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,512843
"PSG Institute of Medical Sciences, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,512844
"KMCH Institute of Health sciences & Research, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,446556
"KMCH Institute of Health sciences & Research, Coimbatore",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,553994
"Velammal Medical College Hospital & Research Institute, Madurai",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,454399
"Velammal Medical College Hospital & Research Institute, Madurai",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,671680
"Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research, Melmaruvathur",Tamil Nadu,2025,Mop-up Round,State Quota,General,All,496381
"Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research, Melmaruvathur",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,534923
"Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research, Melmaruvathur",Tamil Nadu,2025,Mop-up Round,State Quota,OBC,All,534932
AIIMS Delhi,All India,2025,Stray Round,AIQ,General,All,58
Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,All India,2025,Round 1,AIQ,General,All,214
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Stray Round,AIQ,General,All,268
AIIMS Delhi,All India,2025,Stray Round,AIQ,OBC,All,141
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Round 1,AIQ,General,All,227
Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,All India,2025,Round 1,AIQ,OBC,All,420
AIIMS Delhi,All India,2025,Stray Round,AIQ,EWS,All,174
AIIMS Jodhpur,All India,2025,Stray Round,AIQ,General,All,453
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Round 1,AIQ,OBC,All,696
"University College of Medical Sciences, Delhi",All India,2025,Stray Round,AIQ,General,All,566
"Maulana Azad Medical College, New Delhi",All India,2025,Stray Round,AIQ,General,All,671
AIIMS Bhopal,All India,2025,Stray Round,AIQ,General,All,464
AIIMS Delhi,All India,2025,Stray Round,AIQ,SC,All,895
Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,All India,2025,Round 1,AIQ,EWS,All,573
AIIMS Jodhpur,All India,2025,Stray Round,AIQ,OBC,All,849
AIIMS Bhubaneshwar,All India,2025,Stray Round,AIQ,General,All,870
AIIMS Rishikesh,All India,2025,Stray Round,AIQ,General,All,905
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Round 1,AIQ,EWS,All,1023
AIIMS Nagpur,All India,2025,Stray Round,AIQ,General,All,1142
AIIMS Rishikesh,All India,2025,Stray Round,AIQ,OBC,All,1509
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Stray Round,AIQ,OBC,All,1484
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Round 1,AIQ,General,Female,1118
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Stray Round,AIQ,General,Female,1437
AIIMS Bhopal,All India,2025,Stray Round,AIQ,OBC,All,1079
AIIMS Jodhpur,All India,2025,Stray Round,AIQ,EWS,All,1251
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 1,AIQ,General,All,1264
"University College of Medical Sciences, Delhi",All India,2025,Stray Round,AIQ,OBC,All,1266
"University College of Medical Sciences, Delhi",All India,2025,Stray Round,AIQ,EWS,All,1103
"Maulana Azad Medical College, New Delhi",All India,2025,Stray Round,AIQ,EWS,All,1322
"AIIMS Mangalagiri, Vijaywada",All India,2025,Stray Round,AIQ,General,All,1345
AIIMS Raipur,All India,2025,Stray Round,AIQ,General,All,849
AIIMS Delhi,All India,2025,Stray Round,AIQ,ST,All,1459
AIIMS Bhubaneshwar,All India,2025,Stray Round,AIQ,OBC,All,1607
AIIMS Nagpur,All India,2025,Stray Round,AIQ,OBC,All,1579
AIIMS Bhopal,All India,2025,Stray Round,AIQ,EWS,All,1939
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 2,AIQ,General,All,1893
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Mop-up Round,AIQ,General,All,2736
AIIMS Rishikesh,All India,2025,Stray Round,AIQ,EWS,All,1941
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Round 1,AIQ,EWS,Female,3151
AIIMS Bhatinda,All India,2025,Stray Round,AIQ,General,All,2373
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 1,AIQ,OBC,All,2047
"AIIMS Bibi Nagar, Hyderabad",All India,2025,Stray Round,AIQ,General,All,2034
AIIMS Patna,All India,2025,Stray Round,AIQ,General,All,2649
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Round 1,AIQ,OBC,Female,2034
AIIMS Raipur,All India,2025,Stray Round,AIQ,OBC,All,1905
JIPMER Puducherry,All India,2025,Stray Round,AIQ,ST,All,4002
JIPMER Karaikal,All India,2025,Stray Round,AIQ,SC,All,2767
JIPMER Karaikal,All India,2025,Stray Round,AIQ,EWS,All,1723
JIPMER Karaikal,All India,2025,Stray Round,AIQ,OBC,All,1628
JIPMER Karaikal,All India,2025,Stray Round,AIQ,General,All,1628
JIPMER Puducherry,All India,2025,Stray Round,AIQ,OBC,All,1533
JIPMER Puducherry,All India,2025,Stray Round,AIQ,EWS,All,1818
JIPMER Karaikal,All India,2025,Stray Round,AIQ,ST,All,4002
JIPMER Puducherry,All India,2025,Stray Round,AIQ,SC,All,3242
JIPMER Puducherry,All India,2025,Stray Round,AIQ,General,All,1059
"Maulana Azad Medical College, New Delhi",All India,2025,Stray Round,AIQ,OBC,All,1891
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 1,AIQ,EWS,All,2458
AIIMS Bhubaneshwar,All India,2025,Stray Round,AIQ,EWS,All,1896
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 2,AIQ,OBC,All,2851
AIIMS Kalyani,All India,2025,Stray Round,AIQ,General,All,2871
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 2,AIQ,EWS,All,2559
AIIMS Bhatinda,All India,2025,Stray Round,AIQ,OBC,All,3712
"AIIMS Mangalagiri, Vijaywada",All India,2025,Stray Round,AIQ,OBC,All,3187
AIIMS Gorakhpur,All India,2025,Stray Round,AIQ,General,All,2428
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Mop-up Round,AIQ,OBC,All,4348
AIIMS Raipur,All India,2025,Stray Round,AIQ,EWS,All,2948
AIIMS Patna,All India,2025,Stray Round,AIQ,OBC,All,4045
AIIMS Bilaspur,All India,2025,Stray Round,AIQ,General,All,3452
AIIMS Nagpur,All India,2025,Stray Round,AIQ,EWS,All,2454
Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,All India,2025,Round 1,AIQ,SC,All,4113
AIIMS Bhatinda,All India,2025,Stray Round,AIQ,EWS,All,4514
AIIMS Rajkot,All India,2025,Stray Round,AIQ,EWS,All,6392
AIIMS Gorakhpur,All India,2025,Stray Round,AIQ,EWS,All,4546
AIIMS Jammu,All India,2025,Stray Round,AIQ,General,All,2762
AIIMS Kalyani,All India,2025,Stray Round,AIQ,OBC,All,4934
"AIIMS Bibi Nagar, Hyderabad",All India,2025,Stray Round,AIQ,OBC,All,4045
AIIMS Gorakhpur,All India,2025,Stray Round,AIQ,OBC,All,3945
AIIMS Rae Bareli,All India,2025,Stray Round,AIQ,General,All,3475
AIIMS Bilaspur,All India,2025,Stray Round,AIQ,EWS,All,5270
AIIMS Jammu,All India,2025,Stray Round,AIQ,OBC,All,5536
"AIIMS Bibi Nagar, Hyderabad",All India,2025,Stray Round,AIQ,EWS,All,6023
AIIMS Rae Bareli,All India,2025,Stray Round,AIQ,OBC,All,5727
AIIMS Kalyani,All India,2025,Stray Round,AIQ,EWS,All,4282
"AIIMS Mangalagiri, Vijaywada",All India,2025,Stray Round,AIQ,EWS,All,3898
AIIMS Rae Bareli,All India,2025,Stray Round,AIQ,EWS,All,6126
AIIMS Jammu,All India,2025,Stray Round,AIQ,EWS,All,4269
AIIMS Patna,All India,2025,Stray Round,AIQ,EWS,All,5290
AIIMS Guwahati,All India,2025,Stray Round,AIQ,EWS,All,8338
AIIMS Bhubaneshwar,All India,2025,Stray Round,AIQ,SC,All,7081
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Stray Round,AIQ,EWS,All,3189
AIIMS Bilaspur,All India,2025,Stray Round,AIQ,OBC,All,6393
AIIMS Jodhpur,All India,2025,Stray Round,AIQ,SC,All,7311
AIIMS Bhopal,All India,2025,Stray Round,AIQ,SC,All,8663
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Round 1,AIQ,SC,All,6838
"Maulana Azad Medical College, New Delhi",All India,2025,Stray Round,AIQ,SC,All,7528
Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,All India,2025,Round 1,AIQ,ST,All,8072
AIIMS Guwahati,All India,2025,Stray Round,AIQ,General,All,7220
AIIMS Rajkot,All India,2025,Stray Round,AIQ,General,All,3901
AIIMS Jodhpur,All India,2025,Stray Round,AIQ,ST,All,9471
AIIMS Rishikesh,All India,2025,Stray Round,AIQ,SC,All,10734
"University College of Medical Sciences, Delhi",All India,2025,Stray Round,AIQ,SC,All,9045
AIIMS Nagpur,All India,2025,Stray Round,AIQ,SC,All,11558
AIIMS Deogarh,All India,2025,Stray Round,AIQ,General,All,6651
AIIMS Rajkot,All India,2025,Stray Round,AIQ,OBC,All,9482
AIIMS Bhopal,All India,2025,Stray Round,AIQ,ST,All,12683
AIIMS Deogarh,All India,2025,Stray Round,AIQ,OBC,All,11024
"University College of Medical Sciences, Delhi",All India,2025,Stray Round,AIQ,ST,All,18056
"Maulana Azad Medical College, New Delhi",All India,2025,Stray Round,AIQ,ST,All,13522
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Round 1,AIQ,SC,Female,16878
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Round 1,AIQ,ST,All,12756
"Atal Bihari Vajpayee Inst. of Medical Sciences, New Delhi",All India,2025,Stray Round,AIQ,SC,All,12540
AIIMS Guwahati,All India,2025,Stray Round,AIQ,OBC,All,12701
AIIMS Bhubaneshwar,All India,2025,Stray Round,AIQ,ST,All,15925
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 1,AIQ,SC,All,16469
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Stray Round,AIQ,EWS,Female,7650
"AIIMS Mangalagiri, Vijaywada",All India,2025,Stray Round,AIQ,SC,All,15931
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 2,AIQ,SC,All,19237
AIIMS Nagpur,All India,2025,Stray Round,AIQ,ST,All,12981
AIIMS Madurai,All India,2025,Stray Round,AIQ,General,All,19096
AIIMS Patna,All India,2025,Stray Round,AIQ,SC,All,18490
AIIMS Kalyani,All India,2025,Stray Round,AIQ,SC,All,14869
"AIIMS Bibi Nagar, Hyderabad",All India,2025,Stray Round,AIQ,SC,All,20287
AIIMS Deogarh,All India,2025,Stray Round,AIQ,EWS,All,10955
AIIMS Bhatinda,All India,2025,Stray Round,AIQ,SC,All,18225
AIIMS Madurai,All India,2025,Stray Round,AIQ,EWS,All,24984
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Mop-up Round,AIQ,SC,All,22949
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Round 1,AIQ,ST,Female,27030
AIIMS Raipur,All India,2025,Stray Round,AIQ,ST,All,26426
AIIMS Rishikesh,All India,2025,Stray Round,AIQ,ST,All,24081
AIIMS Madurai,All India,2025,Stray Round,AIQ,OBC,All,25926
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 1,AIQ,ST,All,36159
"Institute Of Medical Sciences, BHU,Varanasi",All India,2025,Round 2,AIQ,ST,All,40908
AIIMS Bilaspur,All India,2025,Stray Round,AIQ,SC,All,31442
"AIIMS Mangalagiri, Vijaywada",All India,2025,Stray Round,AIQ,ST,All,28809
AIIMS Gorakhpur,All India,2025,Stray Round,AIQ,SC,All,24650
AIIMS Jammu,All India,2025,Stray Round,AIQ,SC,All,27743
AIIMS Guwahati,All India,2025,Stray Round,AIQ,SC,All,45101
"Lady Hardinge Medical College, New Delhi (Women Seat only)",All India,2025,Stray Round,AIQ,ST,Female,36871
AIIMS Rae Bareli,All India,2025,Stray Round,AIQ,SC,All,39752
AIIMS Rajkot,All India,2025,Stray Round,AIQ,SC,All,42678
AIIMS Deogarh,All India,2025,Stray Round,AIQ,SC,All,42398
ESIC IP,All India,2025,Stray Round,AIQ,General,All,41755
AIIMS Bilaspur,All India,2025,Stray Round,AIQ,ST,All,69022
ESIC IP,All India,2025,Stray Round,AIQ,EWS,All,70578
AIIMS Bhatinda,All India,2025,Stray Round,AIQ,ST,All,37330
ESIC IP,All India,2025,Stray Round,AIQ,OBC,All,66291
AIIMS Jammu,All India,2025,Stray Round,AIQ,ST,All,46184
"AIIMS Bibi Nagar, Hyderabad",All India,2025,Stray Round,AIQ,ST,All,48341
AIIMS Gorakhpur,All India,2025,Stray Round,AIQ,ST,All,49532
AIIMS Madurai,All India,2025,Stray Round,AIQ,SC,All,64224
AIIMS Kalyani,All India,2025,Stray Round,AIQ,ST,All,43747
AIIMS Rajkot,All India,2025,Stray Round,AIQ,ST,All,79413
AIIMS Rae Bareli,All India,2025,Stray Round,AIQ,ST,All,54645
